id,handle,first_name,last_name,email,street,city,state,gender_identity,real_food_affinity,luxury_brand_affinity,tech_gadget_affinity,travel_affinity,cost_per_impression
16,dforsdikef,Dill,Forsdike,dforsdikef@parallels.com,336 Sugar Lane,Hagerstown,Maryland,Bigender,0.48,0.85,0.1,0.51,0
17,ecouplandg,Emogene,Coupland,ecouplandg@soup.io,2242 Mandrake Drive,Manchester,New Hampshire,Male,0.34,0.13,0.01,0.11,60
18,tfaireyh,Tann,Fairey,tfaireyh@blogs.com,5 Schlimgen Alley,Berkeley,California,Male,0.14,0.91,0.23,0.67,64
19,phellingsi,Parrnell,Hellings,phellingsi@nydailynews.com,8151 Troy Junction,San Jose,California,Female,0.19,0.94,0.3,0.09,42
20,cphilippsohnj,Clarance,Philippsohn,cphilippsohnj@examiner.com,0 Pepper Wood Pass,Nashville,Tennessee,Non-binary,0.63,0.02,0.21,0.48,59
21,ebrosek,Elysha,Brose,ebrosek@google.de,92806 Maple Wood Road,Houston,Texas,Genderfluid,0.16,0.19,0.85,0.62,30
22,jmaddisonl,Julee,Maddison,jmaddisonl@tripod.com,37680 Eagle Crest Circle,Memphis,Tennessee,Genderfluid,0.16,1.0,0.55,0.09,64
23,aredfernem,Augustine,Redferne,aredfernem@newsvine.com,19622 Lillian Parkway,Gary,Indiana,Genderqueer,0.72,0.58,0.01,0.86,27
24,atucknottn,Amaleta,Tucknott,atucknottn@yelp.com,8 Algoma Center,Arlington,Virginia,Bigender,0.28,0.44,0.72,0.79,85
25,tprinneo,Torre,Prinne,tprinneo@vkontakte.ru,251 Hanover Pass,Springfield,Illinois,Polygender,0.73,0.26,0.85,0.8,99
26,cbakhrushkinp,Cazzie,Bakhrushkin,cbakhrushkinp@networksolutions.com,817 Coleman Alley,Decatur,Illinois,Female,0.23,0.27,1.0,0.37,15
27,fbockmannq,Fran,Bockmann,fbockmannq@devhub.com,2 Shelley Place,Richmond,Virginia,Bigender,0.94,0.41,0.69,0.01,22
28,djimenor,Dionis,Jimeno,djimenor@hostgator.com,70424 Rusk Avenue,Sacramento,California,Non-binary,0.25,0.58,0.61,0.93,92
29,mmarquesss,Merrili,Marquess,mmarquesss@hostgator.com,3462 Milwaukee Pass,Oklahoma City,Oklahoma,Agender,0.38,0.21,0.44,0.29,89
30,rcroyt,Red,Croy,rcroyt@jigsy.com,778 Ruskin Park,Pittsburgh,Pennsylvania,Male,0.15,0.91,0.95,0.82,48
31,asnoxellu,Auroora,Snoxell,asnoxellu@seattletimes.com,288 Valley Edge Lane,Nashville,Tennessee,Female,0.06,0.3,0.37,0.73,77
32,rbadwickv,Ranice,Badwick,rbadwickv@imgur.com,8 Red Cloud Hill,Evansville,Indiana,Non-binary,0.8,0.3,0.12,0.65,35
33,tendenw,Tiphani,Enden,tendenw@hatena.ne.jp,73246 Mayfield Park,Washington,District of Columbia,Female,0.08,0.17,0.89,0.47,61
35,obrownscombey,Ofilia,Brownscombe,obrownscombey@eventbrite.com,889 Dixon Pass,Albany,New York,Genderqueer,0.52,0.22,0.4,0.61,20
36,ghurburtz,Garrot,Hurburt,ghurburtz@deviantart.com,3461 Lakewood Gardens Terrace,Amarillo,Texas,Bigender,0.47,0.74,0.55,0.23,63
37,gconlaund10,Geri,Conlaund,gconlaund10@uiuc.edu,35 Eliot Point,Bradenton,Florida,Agender,0.09,0.48,0.31,0.21,35
38,dbaumadier11,Dermot,Baumadier,dbaumadier11@dmoz.com,6100 Westend Terrace,Spokane,Washington,Male,0.66,0.47,1.0,0.96,43
39,dkeets12,Dieter,Keets,dkeets12@aboutads.info,80 Monument Junction,Tucson,Arizona,Polygender,0.01,0.2,0.38,0.01,17
40,bjanousek13,Bobbee,Janousek,bjanousek13@arstechnica.com,50846 Emmet Crossing,Loretto,Minnesota,Agender,0.05,0.41,0.61,0.18,54
41,rdoylend14,Roy,Doylend,rdoylend14@mlb.com,6776 Esch Pass,Jamaica,New York,Male,0.0,0.16,0.17,0.07,35
42,dcrapper15,Dominique,Crapper,dcrapper15@angelfire.com,4515 Victoria Court,Bronx,New York,Male,0.21,0.33,0.44,0.51,72
43,melleray16,Margo,Elleray,melleray16@last.fm,5543 Crownhardt Court,Fort Worth,Texas,Bigender,0.11,0.92,0.93,0.69,32
44,dwrightem17,Deena,Wrightem,dwrightem17@sfgate.com,8 Gateway Trail,Irvine,California,Female,0.59,0.08,0.2,0.49,4
45,mrothermel18,Mandel,Rothermel,mrothermel18@sciencedaily.com,808 Gateway Junction,Dallas,Texas,Non-binary,0.38,0.7,0.47,0.39,96
46,astaunton19,Ambrosio,Staunton,astaunton19@ox.ac.uk,931 Dunning Avenue,Las Vegas,Nevada,Polygender,0.96,0.02,0.06,0.58,24
47,cgozzett1a,Conni,Gozzett,cgozzett1a@shinystat.com,6494 Golf Trail,Sterling,Virginia,Genderqueer,0.98,0.7,0.56,0.52,55
48,mjonke1b,Maryanna,Jonke,mjonke1b@sun.com,3 Fordem Plaza,Silver Spring,Maryland,Bigender,0.66,0.6,0.7,0.15,47
49,onortheast1c,Orlando,Northeast,onortheast1c@sun.com,0 Bartelt Hill,Brockton,Massachusetts,Male,0.29,0.99,0.14,0.29,52
50,sfryett1d,Sarina,Fryett,sfryett1d@zdnet.com,87 Morrow Alley,Hartford,Connecticut,Bigender,0.95,1.0,0.52,0.45,57
51,abarmadier1e,Ardine,Barmadier,abarmadier1e@sina.com.cn,78450 Union Place,Providence,Rhode Island,Polygender,0.59,0.98,0.13,0.29,67
52,jcroston1f,Jessalin,Croston,jcroston1f@cargocollective.com,108 Bluejay Trail,Pasadena,California,Genderqueer,0.77,0.69,0.81,0.96,46
53,ufairbank1g,Ugo,Fairbank,ufairbank1g@ycombinator.com,56 Melvin Plaza,Lexington,Kentucky,Bigender,0.99,0.86,0.25,0.72,54
54,edawidowsky1h,Earvin,Dawidowsky,edawidowsky1h@com.com,9156 Barnett Hill,Nashville,Tennessee,Non-binary,0.28,0.66,0.97,0.77,28
55,fdartan1i,Fallon,Dartan,fdartan1i@ihg.com,62220 Hollow Ridge Plaza,Indianapolis,Indiana,Polygender,0.24,0.16,0.25,0.42,13
56,iluddy1j,Innis,Luddy,iluddy1j@godaddy.com,135 Village Road,Houston,Texas,Non-binary,0.11,0.6,0.52,0.74,61
57,dpinxton1k,Doris,Pinxton,dpinxton1k@mit.edu,7 Fremont Street,Rochester,New York,Non-binary,0.52,0.24,0.05,0.03,73
58,ltrevithick1l,Lexie,Trevithick,ltrevithick1l@flavors.me,7205 Petterle Place,Dayton,Ohio,Non-binary,0.95,0.88,0.19,0.55,49
59,aboag1m,Aldous,Boag,aboag1m@cdc.gov,99157 Laurel Circle,Seattle,Washington,Female,0.3,0.25,0.05,0.11,95
60,idoyland1n,Ira,Doyland,idoyland1n@hexun.com,4 Express Street,Richmond,Virginia,Male,0.01,0.21,0.07,0.42,77
62,tdebenedictis1p,Tabby,De Benedictis,tdebenedictis1p@wikimedia.org,492 Bonner Plaza,Bridgeport,Connecticut,Agender,0.34,0.61,0.65,0.84,25
63,dwaterfield1q,Dannel,Waterfield,dwaterfield1q@house.gov,138 Anzinger Alley,El Paso,Texas,Bigender,0.1,0.43,0.83,0.56,31
64,cchrismas1r,Cristina,Chrismas,cchrismas1r@abc.net.au,6036 Arapahoe Street,Des Moines,Iowa,Non-binary,0.69,0.01,0.42,0.36,76
65,mkuhnhardt1s,Mirabel,Kuhnhardt,mkuhnhardt1s@cam.ac.uk,18 Buell Alley,Akron,Ohio,Bigender,0.08,0.74,0.95,0.41,50
66,mchurchlow1t,Marylou,Churchlow,mchurchlow1t@hatena.ne.jp,476 Bellgrove Terrace,Des Moines,Iowa,Male,0.54,0.3,0.35,0.37,13
67,bhendin1u,Briggs,Hendin,bhendin1u@uiuc.edu,651 Donald Terrace,Louisville,Kentucky,Agender,0.2,0.64,0.92,0.09,82
68,jcamin1v,Josefa,Camin,jcamin1v@jigsy.com,64766 Pond Place,Oklahoma City,Oklahoma,Genderqueer,0.04,0.24,0.85,0.72,4
69,agyurko1w,Abbie,Gyurko,agyurko1w@loc.gov,3419 Schlimgen Terrace,Atlanta,Georgia,Genderfluid,0.13,0.81,0.43,0.09,22
70,dspurman1x,Derril,Spurman,dspurman1x@deviantart.com,9 Norway Maple Drive,Sacramento,California,Genderqueer,0.69,0.3,0.03,0.17,97
71,rgourlay1y,Rees,Gourlay,rgourlay1y@e-recht24.de,91998 Bultman Parkway,San Jose,California,Male,0.87,0.12,0.91,0.95,43
72,rklausen1z,Rosalia,Klausen,rklausen1z@live.com,7 Hagan Crossing,New Orleans,Louisiana,Genderfluid,0.37,0.35,0.37,0.51,89
73,fseppey20,Fianna,Seppey,fseppey20@tiny.cc,2783 Transport Trail,Montgomery,Alabama,Genderqueer,0.56,0.72,0.92,0.7,56
74,cpepis21,Charissa,Pepis,cpepis21@flickr.com,903 Schiller Parkway,Washington,District of Columbia,Genderfluid,0.2,0.57,0.09,0.31,33
75,eclavering22,Elvera,Clavering,eclavering22@e-recht24.de,5244 Lake View Crossing,Richmond,Virginia,Male,0.61,0.63,0.77,0.9,65
76,jpidgeley23,Justina,Pidgeley,jpidgeley23@feedburner.com,8 Waxwing Avenue,Evansville,Indiana,Polygender,0.14,0.12,0.39,0.79,9
78,amarham25,Alex,Marham,amarham25@google.fr,61945 Waubesa Crossing,Milwaukee,Wisconsin,Agender,0.98,0.53,0.42,0.92,65
79,jbowbrick26,Jaimie,Bowbrick,jbowbrick26@technorati.com,3 Holmberg Plaza,San Diego,California,Non-binary,0.48,0.56,0.1,0.98,49
80,sstrippling27,Sandie,Strippling,sstrippling27@blogspot.com,49 Jana Place,Carlsbad,California,Genderfluid,0.62,0.93,0.17,0.97,38
81,wcoleborn28,Wilma,Coleborn,wcoleborn28@cmu.edu,6 Mockingbird Trail,Glendale,California,Genderfluid,0.44,0.45,0.21,0.61,82
82,arunnicles29,Ailyn,Runnicles,arunnicles29@purevolume.com,41036 Pond Alley,Saint Louis,Missouri,Polygender,0.11,0.49,0.75,0.85,12
83,dperulli2a,Dionne,Perulli,dperulli2a@wikispaces.com,71 Butterfield Circle,El Paso,Texas,Bigender,0.4,0.42,0.17,0.3,19
84,lclevely2b,Leslie,Clevely,lclevely2b@netlog.com,3 Magdeline Point,Las Vegas,Nevada,Non-binary,0.77,0.66,0.47,0.19,48
85,egulvin2c,Estrella,Gulvin,egulvin2c@ca.gov,1 Dahle Place,Concord,California,Genderqueer,0.06,0.58,0.19,0.54,46
86,ableakman2d,Abby,Bleakman,ableakman2d@example.com,594 Debra Circle,Cheyenne,Wyoming,Male,0.57,0.23,0.08,0.31,96
87,hdommersen2e,Hagen,Dommersen,hdommersen2e@npr.org,2567 Pierstorff Drive,Decatur,Georgia,Bigender,0.58,0.72,0.73,0.65,96
88,dbabbe2f,Dennis,Babbe,dbabbe2f@howstuffworks.com,289 Stuart Alley,Lansing,Michigan,Non-binary,0.15,0.07,0.02,0.98,51
89,lyakovliv2g,Latisha,Yakovliv,lyakovliv2g@technorati.com,3 Muir Crossing,Washington,District of Columbia,Female,0.81,0.31,0.06,0.39,20
90,kerley2h,Karol,Erley,kerley2h@hatena.ne.jp,8 Gateway Parkway,Lexington,Kentucky,Male,0.01,0.17,0.36,0.88,97
91,lglyssanne2i,Lorne,Glyssanne,lglyssanne2i@usda.gov,3646 Goodland Plaza,Mobile,Alabama,Bigender,0.69,0.16,0.95,0.68,55
92,aeilert2j,Alexandre,Eilert,aeilert2j@cpanel.net,917 Paget Road,Orlando,Florida,Bigender,0.05,0.69,0.13,0.68,91
93,tstent2k,Tory,Stent,tstent2k@mysql.com,2445 Becker Crossing,Birmingham,Alabama,Polygender,0.65,0.85,0.89,0.93,0
94,alinnitt2l,Ansley,Linnitt,alinnitt2l@webmd.com,08 Longview Terrace,Bronx,New York,Bigender,0.04,0.98,0.36,0.75,41
95,rferrino2m,Rhett,Ferrino,rferrino2m@comsenz.com,7877 Center Road,Nashville,Tennessee,Bigender,0.32,0.83,0.68,0.76,58
96,echatband2n,Erin,Chatband,echatband2n@uiuc.edu,146 Briar Crest Junction,Oklahoma City,Oklahoma,Non-binary,0.86,0.6,0.26,0.92,48
97,dkhomishin2o,Dasya,Khomishin,dkhomishin2o@facebook.com,58096 Thierer Junction,Miami,Florida,Non-binary,0.78,0.41,0.33,0.26,82
98,mpollie2p,Matty,Pollie,mpollie2p@google.com,3 Golf Circle,Whittier,California,Genderqueer,0.1,0.18,0.73,0.47,16
99,acalrow2q,Ailene,Calrow,acalrow2q@bravesites.com,11726 Sage Circle,Los Angeles,California,Female,0.07,0.39,0.12,0.68,96
100,mcanland2r,Mal,Canland,mcanland2r@bloomberg.com,357 Meadow Vale Street,New York City,New York,Genderqueer,0.53,0.8,0.73,0.61,32
101,bbiggen2s,Berkley,Biggen,bbiggen2s@merriam-webster.com,1 Porter Park,Dallas,Texas,Male,0.71,0.67,0.32,0.4,93
102,lkoppeck2t,Lia,Koppeck,lkoppeck2t@comsenz.com,69320 Arizona Terrace,Jackson,Mississippi,Polygender,0.75,0.01,0.59,0.92,18
103,otchir2u,Orelee,Tchir,otchir2u@livejournal.com,0809 Reindahl Pass,Oklahoma City,Oklahoma,Male,0.66,0.77,0.96,0.4,37
105,ahundal2w,Armin,Hundal,ahundal2w@biblegateway.com,76 Schiller Crossing,Indianapolis,Indiana,Bigender,0.73,0.78,0.36,0.99,52
106,llewendon2x,Leilah,Lewendon,llewendon2x@foxnews.com,170 West Point,Topeka,Kansas,Polygender,0.08,0.44,0.99,0.64,18
107,kkeely2y,Kaylil,Keely,kkeely2y@fema.gov,8562 Montana Trail,Pittsburgh,Pennsylvania,Polygender,0.52,0.76,0.39,0.87,7
108,tneagle2z,Tyne,Neagle,tneagle2z@domainmarket.com,593 Gerald Park,Dallas,Texas,Polygender,0.49,0.18,0.11,0.69,77
109,spankethman30,Sarajane,Pankethman,spankethman30@ameblo.jp,8469 Division Trail,Metairie,Louisiana,Non-binary,0.42,0.43,0.51,0.19,44
110,emaw31,Elysia,Maw,emaw31@ibm.com,2 Arrowood Crossing,Gadsden,Alabama,Female,0.69,0.42,0.01,0.5,71
111,sraffles32,Sasha,Raffles,sraffles32@yolasite.com,7 Warner Court,Kansas City,Missouri,Genderfluid,0.97,0.51,0.05,0.31,39
112,bsuttie33,Billye,Suttie,bsuttie33@weebly.com,16 Valley Edge Place,Omaha,Nebraska,Non-binary,0.31,0.91,0.81,0.45,5
113,akopfer34,Arda,Kopfer,akopfer34@de.vu,6 Comanche Plaza,Rochester,New York,Polygender,0.54,0.45,0.33,0.08,70
114,bozelton35,Brandice,Ozelton,bozelton35@discovery.com,13 Kensington Drive,Odessa,Texas,Genderqueer,0.69,0.65,0.9,0.36,30
115,ldollard36,Lonnard,Dollard,ldollard36@creativecommons.org,4134 Northview Hill,Fort Worth,Texas,Male,0.43,0.74,0.07,0.47,86
116,cshurrocks37,Carita,Shurrocks,cshurrocks37@shinystat.com,49981 Bonner Lane,Ridgely,Maryland,Non-binary,0.45,0.36,0.36,0.05,72
117,sauten38,Sammy,Auten,sauten38@youku.com,47 Laurel Crossing,Tucson,Arizona,Genderfluid,0.47,0.96,0.96,0.02,50
118,eharewood39,Eddi,Harewood,eharewood39@bizjournals.com,300 Hanson Park,Albany,Georgia,Genderfluid,0.33,0.13,0.89,0.96,25
119,kfidge3a,Kinny,Fidge,kfidge3a@nih.gov,814 Amoth Park,Raleigh,North Carolina,Bigender,0.76,0.2,0.87,0.59,76
120,afanton3b,Arleyne,Fanton,afanton3b@noaa.gov,325 Bunting Pass,Minneapolis,Minnesota,Genderqueer,0.93,0.8,0.6,0.02,72
121,znewson3c,Zebulen,Newson,znewson3c@amazon.co.jp,1465 Coleman Plaza,Charlotte,North Carolina,Male,0.12,0.02,0.11,0.8,20
122,mingreda3d,Missy,Ingreda,mingreda3d@forbes.com,7944 Lake View Circle,Santa Fe,New Mexico,Genderfluid,0.37,0.95,0.36,0.5,3
123,bogavin3e,Bryan,O'Gavin,bogavin3e@flickr.com,3266 Schlimgen Crossing,Cincinnati,Ohio,Genderqueer,0.64,0.11,0.95,0.53,15
124,vdoyly3f,Verna,D'Oyly,vdoyly3f@theatlantic.com,92 Mallory Pass,Saginaw,Michigan,Bigender,0.49,0.4,0.55,0.42,63
125,jklimuk3g,Jourdan,Klimuk,jklimuk3g@elpais.com,00 Garrison Road,El Paso,Texas,Male,0.93,0.68,0.7,0.32,96
126,gfursse3h,Gwennie,Fursse,gfursse3h@joomla.org,0 Elka Alley,Pueblo,Colorado,Genderqueer,0.76,0.5,0.66,0.96,54
127,ksmithin3i,Kelbee,Smithin,ksmithin3i@yelp.com,79191 Sundown Drive,Springfield,Missouri,Agender,0.26,0.92,0.24,0.04,20
128,bdon3j,Briano,Don,bdon3j@ucsd.edu,521 Hollow Ridge Junction,Saint Paul,Minnesota,Male,0.68,0.26,0.02,0.89,52
130,mhardypiggin3l,Melody,Hardy-Piggin,mhardypiggin3l@wordpress.com,63552 Brentwood Alley,El Paso,Texas,Genderqueer,0.63,0.82,0.23,0.71,33
131,pdenyer3m,Pammy,Denyer,pdenyer3m@ed.gov,78 Maywood Terrace,Tyler,Texas,Genderfluid,0.27,0.5,0.2,0.05,93
133,gmacneilley3o,Gar,MacNeilley,gmacneilley3o@tinyurl.com,6 Golf Course Point,Kansas City,Missouri,Agender,0.01,0.96,0.97,0.59,14
134,emosey3p,Estel,Mosey,emosey3p@yale.edu,6 Brickson Park Alley,Jacksonville,Florida,Polygender,0.16,0.07,0.87,0.7,71
135,hbartolomeazzi3q,Hillier,Bartolomeazzi,hbartolomeazzi3q@exblog.jp,6 Oakridge Park,Laurel,Maryland,Non-binary,0.47,0.43,0.91,0.66,4
136,cabdee3r,Constantina,Abdee,cabdee3r@seattletimes.com,4529 Schmedeman Place,El Paso,Texas,Bigender,0.22,0.59,0.48,0.92,32
137,fhordle3s,Francois,Hordle,fhordle3s@networkadvertising.org,07 Mcbride Parkway,Richmond,Virginia,Genderfluid,0.39,0.94,0.06,0.46,11
138,bhandsheart3t,Brunhilda,Handsheart,bhandsheart3t@newsvine.com,02 Porter Junction,Madison,Wisconsin,Genderqueer,0.78,0.75,0.82,0.46,81
139,weccleston3u,Wendel,Eccleston,weccleston3u@studiopress.com,4 Dapin Drive,San Antonio,Texas,Genderqueer,0.02,0.55,0.54,0.85,93
140,challowes3v,Cherilynn,Hallowes,challowes3v@xinhuanet.com,60 Straubel Road,Las Vegas,Nevada,Polygender,0.98,0.76,0.52,0.3,79
141,wallewell3w,Winnie,Allewell,wallewell3w@nydailynews.com,6 Towne Crossing,Omaha,Nebraska,Non-binary,0.4,0.97,0.45,0.36,30
142,flackinton3x,Field,Lackinton,flackinton3x@hp.com,12 Cody Junction,Toledo,Ohio,Bigender,0.73,0.1,0.1,0.83,64
143,ckaas3y,Cally,Kaas,ckaas3y@ning.com,80 Vidon Place,Knoxville,Tennessee,Polygender,0.5,0.44,0.11,0.01,97
145,eaicken40,Erskine,Aicken,eaicken40@gov.uk,98434 Pennsylvania Crossing,Memphis,Tennessee,Genderfluid,0.71,0.44,0.33,0.27,47
146,hbygrave41,Halimeda,Bygrave,hbygrave41@jimdo.com,6 Sachs Point,El Paso,Texas,Genderqueer,0.16,0.57,0.9,0.56,16
147,rbrimming42,Rafa,Brimming,rbrimming42@theatlantic.com,84468 Riverside Road,Spokane,Washington,Bigender,0.94,0.65,0.23,0.29,90
148,gkittoe43,Garrott,Kittoe,gkittoe43@apache.org,28 Esch Park,Scranton,Pennsylvania,Polygender,0.05,0.24,0.3,0.18,66
149,dkinneally44,Dorise,Kinneally,dkinneally44@techcrunch.com,2 Hoffman Park,Flint,Michigan,Agender,0.98,0.98,0.92,0.84,1
150,tashburne45,Tansy,Ashburne,tashburne45@fastcompany.com,5007 Huxley Park,Lancaster,Pennsylvania,Genderfluid,0.09,0.61,0.27,0.86,39
151,ggoodread46,Gerianne,Goodread,ggoodread46@ameblo.jp,3732 Delaware Street,Seattle,Washington,Female,0.48,0.59,0.59,0.85,96
152,dmcnicol47,Danice,McNicol,dmcnicol47@rediff.com,45 Larry Hill,Sacramento,California,Genderqueer,0.03,0.64,0.23,0.2,51
153,kpohl48,Kelwin,Pohl,kpohl48@biglobe.ne.jp,170 Grim Terrace,Bonita Springs,Florida,Male,0.96,0.53,0.18,0.61,64
154,sshepperd49,Sonnie,Shepperd,sshepperd49@yandex.ru,043 Hazelcrest Terrace,Fort Wayne,Indiana,Bigender,0.68,0.87,0.89,0.17,10
155,lhoffner4a,Langsdon,Hoffner,lhoffner4a@adobe.com,4 Spenser Avenue,Tulsa,Oklahoma,Agender,0.51,0.03,0.84,0.12,63
156,bgrowden4b,Bryn,Growden,bgrowden4b@chron.com,6 Shelley Trail,Knoxville,Tennessee,Agender,0.71,0.8,0.58,0.67,43
157,hlung4c,Hestia,Lung,hlung4c@tripadvisor.com,41538 Aberg Alley,Kansas City,Missouri,Genderqueer,0.99,0.62,0.01,0.66,10
158,eputley4d,Ellie,Putley,eputley4d@prnewswire.com,7833 Lunder Place,Mobile,Alabama,Genderqueer,0.89,0.77,0.88,0.94,31
160,iliddiatt4f,Iggie,Liddiatt,iliddiatt4f@biblegateway.com,635 Marcy Drive,Erie,Pennsylvania,Polygender,0.3,0.09,0.91,0.62,15
161,atolliday4g,Agata,Tolliday,atolliday4g@usa.gov,2 Mariners Cove Road,Saint Petersburg,Florida,Agender,0.06,0.22,0.92,0.28,75
162,cnorledge4h,Claudell,Norledge,cnorledge4h@cdc.gov,4 Reindahl Trail,Cleveland,Ohio,Non-binary,0.82,0.6,0.28,0.43,76
163,ofreyn4i,Odette,Freyn,ofreyn4i@ebay.com,1654 Schlimgen Park,Peoria,Arizona,Male,0.49,0.04,0.51,0.04,23
164,nkempton4j,Nessa,Kempton,nkempton4j@liveinternet.ru,5 Memorial Park,Kansas City,Missouri,Female,0.6,0.28,0.48,0.02,23
165,awerner4k,Anallese,Werner,awerner4k@dedecms.com,83 Scott Avenue,Wichita,Kansas,Non-binary,0.09,0.55,0.7,0.7,41
166,mallot4l,Merline,Allot,mallot4l@com.com,64 Cordelia Alley,Lawrenceville,Georgia,Female,0.63,0.88,0.09,0.89,47
167,croyall4m,Clevey,Royall,croyall4m@artisteer.com,65259 Swallow Avenue,Milwaukee,Wisconsin,Agender,0.21,0.61,0.61,0.88,54
168,dbowskill4n,Danna,Bowskill,dbowskill4n@oakley.com,34 Vahlen Terrace,Fresno,California,Male,0.11,0.96,0.42,0.17,28
170,rdagger4p,Rustie,Dagger,rdagger4p@scribd.com,3979 Forster Parkway,North Las Vegas,Nevada,Genderfluid,0.22,0.94,0.86,0.8,71
171,ncallander4q,Ned,Callander,ncallander4q@ucoz.com,532 Beilfuss Crossing,Oklahoma City,Oklahoma,Non-binary,0.11,0.64,0.16,0.95,4
172,tlindeboom4r,Taryn,Lindeboom,tlindeboom4r@slashdot.org,126 Continental Center,Portsmouth,Virginia,Genderqueer,0.07,0.25,0.4,0.77,47
173,enorcliffe4s,Evey,Norcliffe,enorcliffe4s@ted.com,269 Reinke Crossing,Evansville,Indiana,Bigender,0.86,0.99,0.93,0.21,100
174,pelphinstone4t,Packston,Elphinstone,pelphinstone4t@dropbox.com,757 Eagan Trail,Seattle,Washington,Genderqueer,0.21,0.93,0.45,0.5,33
175,smcguinness4u,Suzann,McGuinness,smcguinness4u@ft.com,80616 Heffernan Drive,Ogden,Utah,Genderqueer,0.7,0.42,0.45,0.62,29
176,amila4v,Andreana,Mila,amila4v@usda.gov,5 Sommers Avenue,Washington,District of Columbia,Bigender,0.16,0.63,0.5,0.6,2
177,mgillam4w,Moyna,Gillam,mgillam4w@miitbeian.gov.cn,912 Nancy Center,Staten Island,New York,Genderfluid,0.84,0.01,0.54,0.47,71
178,mlegrice4x,Michelina,Legrice,mlegrice4x@flickr.com,3 Lyons Road,Huntsville,Alabama,Polygender,0.6,0.91,0.13,0.88,62
179,csyfax4y,Caye,Syfax,csyfax4y@engadget.com,8 Summit Drive,Albany,New York,Male,0.93,0.06,0.78,0.67,78
180,fbrookson4z,Fraze,Brookson,fbrookson4z@desdev.cn,64649 Schlimgen Park,Charleston,South Carolina,Polygender,0.71,0.08,0.72,0.34,62
181,gholburn50,Gwenore,Holburn,gholburn50@slideshare.net,02 School Plaza,Grand Rapids,Michigan,Genderfluid,0.07,0.54,0.76,0.64,50
182,cevitt51,Christie,Evitt,cevitt51@usnews.com,2 Golden Leaf Road,Omaha,Nebraska,Non-binary,0.64,0.07,0.53,0.32,16
183,pchampneys52,Putnam,Champneys,pchampneys52@pagesperso-orange.fr,734 Ludington Center,Atlanta,Georgia,Male,0.43,0.39,0.39,0.4,12
184,wrolles53,Waylon,Rolles,wrolles53@bloomberg.com,62 Northport Trail,San Francisco,California,Genderqueer,0.64,0.61,0.86,0.99,66
185,cwhines54,Celestyna,Whines,cwhines54@cornell.edu,060 Kinsman Pass,Washington,District of Columbia,Female,0.65,0.12,0.38,0.83,51
186,acondict55,Alicea,Condict,acondict55@bloglovin.com,3679 Browning Avenue,Springfield,Ohio,Male,0.02,0.38,0.44,0.48,86
187,tplatfoot56,Tisha,Platfoot,tplatfoot56@diigo.com,88543 Cordelia Alley,Sarasota,Florida,Non-binary,0.62,0.46,0.52,0.8,71
